Char: Android 13
Model: SUPER13

Char: Android 16
Model: 16DROID

Char: Android 17
Model: 17DROID

Char: Android 18
Model: 18DROID

Char: Android 19
Model: 19DROID

Char: Bardock
Model: BARDOCK

Char: Bojack
Model: BOJACK

Char: Broli
Model: NBROLI
Model: BROLI
Model: USSBROLI

Char: Bulma
Model: BULMA

Char: Burter
Model: BURTER

Char: Buu
Model: FATBUU
Model: OLDBUU
Model: SUPERBUU
Model: SUPERBUU2
Model: KIDBUU

Char: Cell
Model: CELL1
Model: CELL2
Model: CELL

Char: ChiChi
Model: CHICHI

Char: Choutzu
Model: CHOUTZU

Char: Dabura
Model: DABURA

Char: Dende
Model: DENDE

Char: Dodoria
Model: DODORIA

Char: Dr Gero
Model: GERO

Char: Freeza
Model: FREEZA3
Model: FREEZA2
Model: FREEZA1
Model: FREEZA

Char: Future Trunks
Model: TRUNKSNOJAK
Model: SSTRUNKSNOJAK
Model: USSTRUNKS

Char: Garlic Jr
Model: GARLIC
Model: GARLIC2

Char: Ginu
Model: GINU

Char: Gogeta
Model: SSGOGETA

Char: Gohan
Model: GOHAN
Model: SSGOH
Model: SGOH

Char: Goku
Model: GOKU
Model: SAYANGOKU
Model: SS2GOKU
Model: SUPERGO

Char: Goten
Model: GOTEN
Model: SSGOTEN

Char: Gotenks
Model: GOTENKS
Model: SSGOTENKS
Model: SS3GOTENKS

Char: Guldo
Model: GULDO

Char: Janeiba
Model: JANEIBA

Char: Jeice
Model: JEICE

Char: Kami
Model: KAMI

Char: King Kai
Model: KINGKAI

Char: King Cold
Model: KINGCOLD

Char: King Vegeta
Model: KINGVEGETA

Char: Koola
Model: KOOLA

Char: Krillin
Model: KRILLIN

Char: Mr Popo
Model: POPO

Char: Mystic Gohan
Model: MYSTIC

Char: Nail
Model: NAIL

Char: Nappa
Model: NAPPA

Char: Piccolo
Model: PICCOLO
Model: PICCOLO2

Char: Pikehan
Model: PIKEHAN

Char: Raditz
Model: RADITZ

Char: Recoom
Model: RECOOM

Char: Roshi
Model: ROSHI
Model: ROSHI2

Char: Slug
Model: SLUG

Char: Tapion
Model: TAPION

Char: Tien
Model: TIEN

Char: Trunks
Model: CHIBITRUNKS
Model: SSCHIBITRUNKS
Model: SS2CHIBITRUNKS

Char: Turles
Model: TURLES

Char: Ubuu
Model: UBUU

Char: Vegeta
Model: VEGETANOARMOR
Model: SSVEGETANOARMOR

Char: Vegetto
Model: VEGETO
Model: SSVEGETO

Char: Videl
Model: VIDEL

Char: Yamcha
Model: YAMCHA

Char: Zarbon
Model: ZARBON
Model: ZARBON2

Char: Azriel
Model: AZRIEL

Char: Bebi Vegeta
Model: BEBIVEGETA

Char: Iron Man
Model: IRONMAN

Char: JetFire
Model: JETFIRE

Char: Magus
Model: MAGUS

Char: Sephiroth
Model: SEPHIROTH

Char: Spiderman
Model: SPIDERMAN

Char: Ewb00
Model: UBUU2

Char: Vash
Model: VASH

Char: Vivi
Model: VIVI

Char: Blue Goku
Model: BLUEGOKU

Char: Shred
Model: KNIGHT

#Honk honk
Blue
Green
Orange
Purple
Red
Silver
Teal
Yellow
#Beep beep
Blue
Green
Orange
Purple
Red
Silver
Yellow
#M33p m33p
Kamehameha
BigBang
FinalFlash
GalikGun
SpBeamCan
Masenko
FingerBeam
OneHanded
#t00t t00t
TwoHanded
OneHanded
#Eek eek
